path,bub_id,frame,n_vertices,f_hz_bem,f_hz_nn8_10k,f_hz_poly2
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04050.obj,1,04050,4898,5.787058958727419,5.72160627,5.7712696
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04100.obj,1,04100,4938,5.795228786569168,5.72374359,5.78105568
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04150.obj,1,04150,4834,5.805865731289798,5.73314622,5.79184944
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04200.obj,1,04200,4870,5.815480092536098,5.74102148,5.8075604
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04250.obj,1,04250,5000,5.8292784029059765,5.74725,5.8266653
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04300.obj,1,04300,5086,5.849739485486422,5.76438102,5.85569856
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04350.obj,1,04350,5380,5.859950631922324,5.77024898,5.88374381
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04400.obj,1,04400,5498,5.890050088099223,5.79762203,5.91989411
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04450.obj,1,04450,5744,5.904975024894901,5.80793387,5.96374037
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04500.obj,1,04500,5980,5.925063439575908,5.81754762,6.00807508
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04550.obj,1,04550,6206,5.939966356336685,5.81994903,6.05379443
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04600.obj,1,04600,6298,5.948678643369444,5.81563524,6.08486913
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04650.obj,1,04650,6340,5.940485030376685,5.73254277,6.33276765
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04700.obj,1,04700,6280,5.939608540618886,5.8148408,6.04582089
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04750.obj,1,04750,5864,5.924497151158747,5.80412161,5.94790198
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04800.obj,1,04800,5662,5.917026689567368,5.80403789,5.8730241
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04850.obj,1,04850,5492,5.896567267146789,5.79341665,5.85359699
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04900.obj,1,04900,5400,5.884896132715194,5.78373936,5.83804931
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04950.obj,1,04950,5342,5.876849495949545,5.77846934,5.83331659
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05000.obj,1,05000,5194,5.880853207546927,5.78026544,5.83067739
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05050.obj,1,05050,5194,5.889240376921738,5.80007122,5.84026034
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05100.obj,1,05100,5090,5.911740936077153,5.82613053,5.86030545
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05150.obj,1,05150,5096,5.9406171574136435,5.85736357,5.88084191
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05200.obj,1,05200,5132,5.9757825208674,5.89355711,5.90864557
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05250.obj,1,05250,5184,5.998490967423649,5.91670989,5.92304495
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05300.obj,1,05300,5206,6.024171099690816,5.93720826,5.93545108
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05350.obj,1,05350,5136,6.04384380246365,5.95457185,5.94156882
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05400.obj,1,05400,5120,6.045351142124916,5.96290339,5.94454297
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05450.obj,1,05450,5022,6.033918037709897,5.9588246,5.93502128
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05500.obj,1,05500,4954,6.028793819635746,5.95180483,5.92980622
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_05550.obj,1,05550,5168,6.01381946122725,5.93787006,5.92532318
